Title,LeadArtist,Genres,YearOfFoundation,Origin,Website
The Killers,Brandon Flowers,alternative rock, indie rock, pop rock, post-punk revival,2001,Nevada,thekillersmusic.com
Imagine Dragons,Dan Reynolds,pop rock, electropop, indie pop, alternative rock, pop,2008,Nevada,imaginedragonsmusic.com
Arctic Monkeys,Alex Turner,indie rock, alternative rock, post-Britpop,2002,England,arcticmonkeys.com
The xx,Romy Madley Croft,indie rock, indie electronic, dream pop,2005,England,thexx.info
Foo Fighters,Dave Grohl,alternative rock, hard rock, grunge, pop rock,1994,Washington,foofighters.com
Twenty One Pilots,Tyler Joseph,indie pop, alternative hip-hop, electropop, rock,2009,Ohio,twentyonepilots.com
Nothing But Thieves,Conor Mason,alternative rock, indie rock, hard rock,2012,England,nbthieves.com
Red Hot Chili Peppers,Anthony Kiedis,func rock, alternative rock, funk metal, rap rock,1983,California,redhotchilipeppers.com
Franz Ferdinand,Alex Kapranos,indie rock, post-punk revival, dance punk, dance rock, art rock,2001,Scotland,franzferdinand.com
Coldplay,Chris Martin,alternative rock, pop rock, post-Britpop, pop,1996,England,coldplay.com